id_cliente,edad,ingreso_mensual,visitas_pagina,visitas_producto_promo,visitas_producto_no_promo,compras_previas,compras_producto_promo,compras_producto_no_promo,descuento_aplicado,veces_expuesto_banner,compra_en_promo
68,32,300409,11,4,7,0,0,0,15,9,0
69,23,523256,11,6,5,2,1,1,15,11,1
70,36,480590,16,7,9,2,0,2,20,8,0
71,39,300000,15,6,9,1,0,1,25,4,0
72,26,349553,10,6,4,3,0,3,25,8,0
73,46,695551,11,4,7,3,1,2,15,5,0
74,24,466975,13,6,7,5,0,5,20,10,0
75,18,300000,6,4,2,3,2,1,20,10,1
76,45,583214,17,5,12,1,1,0,15,11,0
77,30,365254,9,4,5,3,0,3,20,2,0
78,33,510946,10,6,4,3,0,3,10,12,1
79,26,514405,11,6,5,3,2,1,5,2,1
80,18,300000,12,7,5,4,1,3,15,11,1
81,47,606785,12,2,10,2,0,2,15,3,0
82,28,300000,11,6,5,2,0,2,15,5,0
83,51,300000,12,4,8,5,0,5,20,3,1
84,43,310788,9,4,5,3,0,3,15,7,0
85,31,385217,13,7,6,1,0,1,10,2,0
86,24,462203,12,5,7,2,0,2,20,11,0
87,27,324800,11,6,5,0,0,0,15,6,1
88,22,595959,10,6,4,2,1,1,25,10,0
89,55,489228,13,9,4,6,2,4,25,5,1
90,36,335065,9,4,5,3,1,2,30,5,0
91,46,631338,20,8,12,4,1,3,5,6,0
92,22,703925,12,5,7,3,1,2,10,5,1
93,36,425289,12,7,5,5,1,4,20,2,0
94,46,405958,13,5,8,2,0,2,20,10,1
95,31,300000,14,9,5,2,0,2,10,4,0
96,45,375868,6,1,5,1,0,1,5,5,0
97,24,393720,10,7,3,2,0,2,25,5,0
98,21,488039,12,3,9,2,0,2,25,8,0
99,38,413589,10,6,4,4,1,3,30,3,0
100,31,487775,13,6,7,3,0,3,10,2,1
101,41,817197,14,7,7,2,0,2,15,10,0
102,18,357909,14,10,4,2,0,2,20,10,0
103,42,363527,13,9,4,1,0,1,20,2,0
104,60,300000,13,7,6,0,0,0,5,11,0
105,34,440883,11,6,5,3,0,3,15,11,0
106,35,653910,10,5,5,3,1,2,40,2,0
107,36,300000,11,3,8,2,0,2,10,6,0
108,18,338966,4,2,2,3,2,1,15,5,0
109,39,448819,10,4,6,1,0,1,25,8,0
110,18,621593,14,4,10,4,0,4,10,3,0
111,30,515631,19,4,15,5,2,3,15,8,1
112,47,503926,8,1,7,1,0,1,20,8,0
113,27,404446,14,7,7,0,0,0,15,3,1
114,40,536461,14,6,8,3,1,2,30,6,1
115,45,663790,6,3,3,2,0,2,25,3,0
116,37,300000,14,5,9,2,0,2,10,6,0
117,21,592090,16,7,9,2,1,1,5,11,1
118,31,425277,15,5,10,1,0,1,15,11,0
119,54,357898,9,3,6,0,0,0,25,6,0
120,18,300000,8,5,3,3,0,3,30,10,0
121,32,300000,12,2,10,0,0,0,5,6,0
122,29,872592,13,8,5,2,0,2,25,5,0
123,36,335903,6,2,4,6,0,6,15,10,1
124,42,300000,15,10,5,2,2,0,40,3,1
125,51,368586,6,1,5,4,0,4,25,7,1
126,32,328384,15,6,9,3,0,3,10,5,0
127,43,464977,8,4,4,4,1,3,15,5,1
128,39,811621,14,9,5,0,0,0,25,10,0
129,39,349882,13,3,10,0,0,0,25,10,0
130,29,470577,12,7,5,3,2,1,40,4,0
131,25,300000,9,4,5,5,2,3,25,10,0
132,23,812658,7,4,3,3,0,3,50,4,1
133,27,477164,5,5,0,2,1,1,15,8,0
134,38,300000,14,5,9,3,0,3,20,7,0
135,42,635217,12,5,7,2,2,0,5,6,0
136,38,714969,8,4,4,2,1,1,15,7,1
137,29,471928,10,5,5,2,1,1,10,6,0
138,53,300000,7,2,5,4,0,4,30,5,0
139,50,903532,7,4,3,0,0,0,10,6,0
140,31,500843,12,3,9,2,0,2,25,5,1
141,26,706572,8,2,6,5,3,2,10,11,1
142,36,354918,12,2,10,3,2,1,20,2,1
143,47,377207,15,8,7,1,0,1,15,4,0
144,38,462397,8,6,2,2,0,2,5,10,0
145,40,690630,14,8,6,2,0,2,10,12,0
146,32,468455,14,5,9,3,0,3,40,10,0
147,39,300000,8,3,5,0,0,0,20,11,0
148,50,491292,11,6,5,0,0,0,25,11,0
149,32,848999,7,2,5,3,1,2,20,2,0
150,36,454213,12,5,7,4,0,4,30,11,0
151,37,465913,13,5,8,1,0,1,10,6,0
152,37,300000,18,8,10,4,1,3,10,9,0
153,20,300000,13,8,5,0,0,0,5,9,0
154,18,342807,11,4,7,1,0,1,25,6,1
155,24,388245,12,6,6,3,1,2,15,8,0
156,36,461217,10,5,5,1,0,1,20,11,0
157,40,472778,9,1,8,4,3,1,5,11,1
158,29,839669,10,3,7,1,0,1,25,2,0
159,48,452921,14,7,7,1,0,1,20,4,0
160,33,677231,6,4,2,1,0,1,5,2,1
161,35,435507,10,3,7,2,0,2,15,3,1
162,33,789820,5,4,1,1,0,1,20,7,1
163,36,300000,7,4,3,1,1,0,10,6,0
164,42,348191,10,4,6,1,1,0,20,6,0
165,41,655539,16,9,7,3,0,3,20,3,0
166,26,413065,14,8,6,2,0,2,25,6,1
167,50,642172,11,4,7,2,0,2,25,7,1
168,24,516084,16,5,11,4,0,4,5,12,0
169,35,645868,21,7,14,3,0,3,20,8,0
170,32,565365,13,8,5,4,2,2,20,9,0
171,24,579232,14,6,8,1,0,1,5,12,0
172,34,803700,10,5,5,1,0,1,25,7,0
173,27,656441,18,7,11,2,1,1,25,9,0
174,35,658370,9,5,4,3,1,2,5,10,0
175,39,446041,16,9,7,5,2,3,25,12,1
176,49,350550,12,8,4,2,0,2,20,10,1
177,38,339821,10,5,5,1,0,1,25,11,0
178,28,597421,14,9,5,1,0,1,25,7,1
179,31,300000,15,9,6,5,3,2,10,11,1
180,36,300000,9,3,6,0,0,0,5,10,1
181,35,300949,10,5,5,4,2,2,20,9,1
182,49,400693,8,3,5,1,0,1,10,8,0
183,48,300000,17,8,9,3,0,3,10,4,0
184,31,731965,12,8,4,1,1,0,5,12,1
185,29,562457,11,5,6,4,1,3,25,9,0
186,18,978555,8,5,3,2,0,2,20,6,0
187,29,676634,8,1,7,3,0,3,25,6,0
188,25,668072,7,5,2,1,1,0,20,10,0
189,31,1088455,19,12,7,1,0,1,5,12,1
190,38,352081,15,6,9,6,1,5,10,4,1
191,36,300000,11,6,5,2,1,1,25,9,0
192,34,403147,7,4,3,2,0,2,10,7,0
193,36,318062,13,4,9,0,0,0,30,9,0
194,33,399217,12,5,7,5,2,3,10,9,1
195,36,300000,14,5,9,3,0,3,15,3,1
196,18,555237,10,6,4,6,1,5,20,3,1
197,32,543178,12,5,7,2,1,1,25,3,1
198,33,437674,12,0,12,2,0,2,25,11,0
199,31,501135,16,6,10,4,1,3,25,8,0
200,32,417976,6,2,4,1,1,0,15,4,0
201,42,597681,19,5,14,1,0,1,10,10,0
202,29,454910,11,5,6,3,1,2,10,11,1
203,57,397846,16,6,10,4,2,2,30,9,0
204,41,641672,10,3,7,4,1,3,20,4,0
205,34,732580,8,6,2,1,1,0,40,11,0
206,32,755384,15,6,9,5,3,2,15,12,0
207,34,300000,9,2,7,2,0,2,15,9,0
208,25,357260,10,5,5,1,0,1,20,4,0
209,34,300000,8,5,3,1,0,1,50,10,0
210,37,402147,9,5,4,3,0,3,25,3,0
211,40,522536,14,4,10,1,0,1,15,2,1
212,40,419525,10,4,6,3,0,3,5,5,0
213,32,957748,11,4,7,1,0,1,15,11,0
214,20,376119,14,9,5,1,0,1,25,8,1
215,28,300000,7,2,5,2,0,2,5,1,0
216,51,555376,19,6,13,0,0,0,25,8,1
217,43,469758,16,7,9,3,0,3,10,3,1
218,38,551202,17,8,9,1,1,0,15,8,0
219,27,499576,9,3,6,2,1,1,30,10,0
220,35,487724,13,2,11,3,1,2,15,3,0
221,22,300000,14,4,10,4,2,2,15,5,0
222,29,330894,18,9,9,3,1,2,15,2,0
223,32,349364,10,3,7,3,0,3,15,6,0
224,31,384929,9,3,6,5,1,4,5,3,0
225,44,369772,9,5,4,3,0,3,15,9,1
226,20,521845,20,12,8,1,0,1,15,3,0
227,26,562616,13,9,4,3,0,3,10,6,0
228,21,300000,12,5,7,1,0,1,25,11,1
229,22,582288,14,5,9,3,0,3,15,4,0
230,36,559225,13,7,6,3,1,2,10,7,1
231,18,533016,16,8,8,4,0,4,5,6,0
232,42,300000,19,13,6,1,0,1,20,11,1
233,32,527673,11,3,8,2,0,2,15,6,0
234,35,457274,7,5,2,2,0,2,20,6,0
235,38,649755,13,4,9,3,0,3,40,10,1
236,30,903239,11,6,5,3,0,3,10,10,0
237,45,835033,18,14,4,5,0,5,20,6,1
238,33,462803,16,6,10,4,0,4,15,6,0
239,40,442081,11,6,5,1,0,1,15,11,0
240,33,569651,9,5,4,0,1,0,10,7,0
241,37,300000,15,6,9,2,0,2,15,9,0
242,37,300000,13,8,5,5,1,4,5,9,1
243,37,366219,10,2,8,2,0,2,15,3,0
244,25,720879,8,3,5,3,0,3,20,11,0
245,39,387530,15,6,9,0,0,0,10,8,0
246,31,806962,15,4,11,1,0,1,15,2,1
247,41,300000,12,4,8,1,1,0,15,7,1
248,18,300000,10,6,4,1,0,1,20,12,1
249,20,421057,11,4,7,3,0,3,20,6,0
250,38,631136,13,6,7,3,1,2,30,6,1
251,53,430262,10,3,7,6,2,4,15,11,0
252,43,425805,9,4,5,3,0,3,20,6,1
253,28,421385,15,7,8,0,0,0,15,6,0
254,18,300000,5,1,4,4,1,3,10,7,0
255,42,703081,14,4,10,1,0,1,10,1,0
256,34,336681,8,4,4,0,0,0,5,7,0
257,40,684068,14,7,7,3,1,2,10,3,1
258,36,430107,4,2,2,0,0,0,20,10,0
259,35,678245,12,8,4,2,1,1,5,8,0
260,64,507525,11,8,3,9,2,7,10,9,1
261,34,423932,11,6,5,1,0,1,5,12,0
262,33,484321,12,8,4,5,1,4,20,10,1
263,33,300000,13,4,9,3,1,2,15,4,0
264,29,443481,12,4,8,1,0,1,25,6,0
265,44,878890,13,11,2,6,2,4,20,9,1
266,31,746594,7,3,4,3,2,1,20,7,1
267,41,300000,9,4,5,2,0,2,25,4,1
268,37,541595,19,12,7,5,0,5,25,10,1
269,47,488547,13,6,7,3,0,3,15,8,0
270,39,613463,7,5,2,1,0,1,20,4,1
271,22,459392,14,7,7,3,0,3,15,2,0
272,21,402962,8,5,3,2,0,2,20,4,1
273,49,753325,19,8,11,3,2,1,30,9,0
274,28,482414,12,8,4,2,1,1,50,7,1
275,21,731012,12,3,9,3,2,1,15,3,0
276,28,653275,4,3,1,1,0,1,5,2,0
277,47,388560,16,6,10,4,1,3,30,12,0
278,20,413825,8,4,4,2,1,1,5,5,0
279,26,957358,10,6,4,3,0,3,5,2,0
280,28,477630,12,6,6,4,1,3,20,12,1
281,22,326618,16,7,9,1,0,1,25,6,0
282,23,300000,11,7,4,1,0,1,20,9,0
283,19,653209,20,7,13,2,0,2,20,7,1
284,30,471708,13,7,6,5,0,5,10,5,1
285,31,322275,17,6,11,2,0,2,20,10,0
286,28,579449,7,4,3,1,1,0,25,5,0
287,18,471606,13,4,9,2,0,2,10,6,0
288,47,300000,13,3,10,2,1,1,15,7,0
289,21,559878,13,7,6,3,0,3,20,6,1
290,37,754096,10,6,4,2,0,2,25,2,0
291,24,1231742,15,5,10,2,0,2,20,3,0
292,41,448633,5,3,2,2,0,2,10,7,0
293,44,485560,7,3,4,1,0,1,15,11,0
294,26,841245,13,6,7,2,0,2,15,8,0
295,18,473301,10,5,5,2,0,2,20,9,0
296,41,493923,10,7,3,3,0,3,20,4,1
297,53,343778,15,7,8,1,0,1,5,10,0
298,39,300000,10,6,4,6,2,4,5,4,0
299,36,637350,11,5,6,0,0,0,5,7,0
300,43,300000,14,7,7,4,1,3,5,9,1
